image	r1	r2	r3	r4
testing_images/Cameraman.png	TRUE	TRUE	TRUE	FALSE
testing_images/decoded_house.png	TRUE	TRUE	TRUE	TRUE
testing_images/Example_lena_denoise_noisy.jpg	TRUE	fail	fail	fail
testing_images/Bricks.png	TRUE	TRUE	TRUE	fail
testing_images/white-noise2.jpg	TRUE	fail	fail	fail
testing_images/noise_face.jpg	TRUE	FALSE	TRUE	FALSE
testing_images/noise.png	FALSE	FALSE	FALSE	FALSE
testing_images/Planks.tif	TRUE	TRUE	TRUE	TRUE
testing_images/noisy_room.png	TRUE	fail	fail	fail
testing_images/noise_light.jpeg	TRUE	fail	fail	fail
testing_images/mandrill.png	TRUE	TRUE	TRUE	TRUE
testing_images/dark_noise.jpg	TRUE	fail	fail	fail
decoded_imgs/decoded_17.png	FALSE	FALSE	FALSE	FALSE
decoded_imgs/decoded_16.png	TRUE	FALSE	FALSE	FALSE
decoded_imgs/decoded_14.png	TRUE	FALSE	FALSE	FALSE
decoded_imgs/decoded_28.png	TRUE	FALSE	FALSE	FALSE
decoded_imgs/decoded_15.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_0.png	FALSE	FALSE	FALSE	FALSE
decoded_imgs/decoded_60.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_61.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_1.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_3.png	TRUE	FALSE	FALSE	FALSE
decoded_imgs/decoded_63.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_62.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_89.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_101.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_2.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_66.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_65.png	TRUE	FALSE	FALSE	FALSE
decoded_imgs/decoded_9.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_69.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_43.png	TRUE	FALSE	FALSE	FALSE
decoded_imgs/decoded_84.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_90.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_47.png	fail	TRUE	FALSE	fail
decoded_imgs/decoded_87.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_50.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_45.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_51.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_23.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_35.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_30.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_25.png	TRUE	FALSE	FALSE	FALSE
decoded_imgs/decoded_33.png	TRUE	FALSE	TRUE	FALSE
decoded_imgs/decoded_27.png	fail	TRUE	FALSE	fail
decoded_imgs/decoded_26.png	TRUE	FALSE	FALSE	FALSE
